Date,PM2.5
2025-01-01,50.49
2025-02-01,60.17
2025-03-01,88.1
2025-04-01,98.55
2025-05-01,68.06
2025-06-01,71.65
2025-07-01,68.02
2025-08-01,64.46
2025-09-01,61.39
2025-10-01,84.8
2025-11-01,103.88
2025-12-01,96.86
NaT,94.15
NaT,96.07
NaT,74.42
NaT,68.58
NaT,72.03
NaT,74.95
NaT,73.58
NaT,72.76
NaT,73.37
NaT,75.66
NaT,91.17
NaT,88.13
NaT,93.8
NaT,84.01
NaT,83.64
NaT,90.66
NaT,60.53
NaT,55.03
NaT,47.36
2025-01-02,50.1
2025-02-02,67.25
2025-03-02,92.24
2025-04-02,79.55
2025-05-02,89.97
2025-06-02,71.33
2025-07-02,73.23
2025-08-02,83.2
2025-09-02,86.03
2025-10-02,68.77
2025-11-02,56.9
2025-12-02,54.06
NaT,79.39
NaT,83.97
NaT,83.71
NaT,53.01
NaT,43.81
NaT,40.71
NaT,42.98
NaT,32.93
NaT,47.35
NaT,44.44
NaT,48.76
NaT,69.0
NaT,75.72
NaT,73.64
NaT,88.73
NaT,51.88
2025-01-03,35.0
2025-02-03,31.69
2025-03-03,28.86
2025-04-03,23.78
2025-05-03,21.43
2025-06-03,17.83
2025-07-03,47.17
2025-08-03,79.77
2025-09-03,65.6
2025-10-03,73.02
2025-11-03,60.39
2025-12-03,64.04
NaT,58.57
NaT,56.77
NaT,51.75
NaT,45.4
NaT,61.66
NaT,63.08
NaT,79.69
NaT,45.53
NaT,60.64
NaT,38.47
NaT,58.49
NaT,88.35
NaT,79.99
NaT,56.27
NaT,58.32
NaT,75.37
NaT,91.61
NaT,60.91
NaT,55.54
2025-01-04,48.48
2025-02-04,42.86
2025-03-04,45.24
2025-04-04,57.49
2025-05-04,56.39
2025-06-04,45.42
2025-07-04,34.18
2025-08-04,34.26
2025-09-04,30.3
2025-10-04,32.45
2025-11-04,33.27
2025-12-04,33.25
NaT,49.07
NaT,52.98
NaT,47.57
NaT,47.5
NaT,43.0
NaT,35.5
NaT,45.74
NaT,44.12
NaT,44.69
NaT,49.29
NaT,52.72
NaT,52.32
NaT,43.14
NaT,37.49
NaT,46.58
NaT,57.36
NaT,42.13
NaT,47.97
2025-01-05,46.21
2025-02-05,46.95
2025-03-05,41.92
2025-04-05,40.8
2025-05-05,40.43
2025-06-05,44.93
2025-07-05,53.18
2025-08-05,52.54
2025-09-05,54.82
2025-10-05,60.79
2025-11-05,60.03
2025-12-05,57.76
NaT,46.36
NaT,44.46
NaT,43.02
NaT,40.63
NaT,38.26
NaT,32.4
NaT,27.45
NaT,29.88
NaT,30.81
NaT,40.16
NaT,29.0
NaT,29.29
NaT,25.14
NaT,25.31
NaT,30.07
NaT,29.69
NaT,23.8
NaT,33.63
NaT,42.02
2025-01-06,42.51
2025-02-06,64.28
2025-03-06,56.33
2025-04-06,35.47
2025-05-06,39.03
2025-06-06,45.31
2025-07-06,52.36
2025-08-06,54.9
2025-09-06,61.0
2025-10-06,55.64
2025-11-06,40.73
2025-12-06,29.92
NaT,31.88
NaT,35.89
NaT,29.03
NaT,23.26
NaT,23.67
NaT,25.75
NaT,30.94
NaT,37.43
NaT,41.36
NaT,37.05
NaT,31.74
NaT,27.55
NaT,29.03
NaT,20.72
NaT,26.66
NaT,29.59
NaT,32.53
NaT,33.99
2025-01-07,30.76
2025-02-07,26.22
2025-03-07,27.24
2025-04-07,32.72
2025-05-07,33.25
2025-06-07,29.22
2025-07-07,25.65
2025-08-07,22.12
2025-09-07,31.29
2025-10-07,26.69
2025-11-07,33.23
2025-12-07,36.45
NaT,36.75
NaT,25.28
NaT,33.07
NaT,35.22
NaT,37.36
NaT,33.83
NaT,35.69
NaT,32.59
NaT,32.84
NaT,28.43
NaT,30.25
NaT,31.69
NaT,26.98
NaT,23.3
NaT,27.91
NaT,30.69
NaT,30.58
NaT,21.67
NaT,29.68
