Date_Str,Month,DayOfWeek,DayOfYear,temp_c,humidity_pct,rain_mm,wind_kmh,Water_pct,Greenery_pct,Empty_Land_pct,Road_and_Infrastructure_pct
2025-01-01,1,2,1,17.9,84.88,0.0,4.15,24.52,35.28,12.34,27.87
2025-01-02,1,3,2,17.49,86.33,0.0,3.83,24.52,35.28,12.34,27.87
2025-01-03,1,4,3,17.79,86.08,0.0,3.37,24.52,35.28,12.34,27.87
2025-01-04,1,5,4,18.06,84.04,0.0,3.98,24.52,35.28,12.34,27.87
2025-01-05,1,6,5,18.57,82.75,0.0,4.73,24.52,35.28,12.34,27.87
2025-01-06,1,0,6,18.83,82.62,0.0,3.77,24.52,35.28,12.34,27.87
2025-01-07,1,1,7,18.11,85.17,8.3,8.38,24.52,35.28,12.34,27.87
2025-01-08,1,2,8,17.88,84.83,0.5,4.18,24.52,35.28,12.34,27.87
2025-01-09,1,3,9,17.64,84.21,0.2,5.72,24.52,35.28,12.34,27.87
2025-01-10,1,4,10,17.4,81.12,0.0,6.04,24.52,35.28,12.34,27.87
2025-01-11,1,5,11,17.62,82.04,0.0,5.89,24.52,35.28,12.34,27.87
2025-01-12,1,6,12,17.82,81.08,0.0,2.89,24.52,35.28,12.34,27.87
2025-01-13,1,0,13,17.93,82.75,0.5,5.5,24.52,35.28,12.34,27.87
2025-01-14,1,1,14,17.86,84.29,0.4,4.94,24.52,35.28,12.34,27.87
2025-01-15,1,2,15,17.38,83.38,0.0,5.62,24.52,35.28,12.34,27.87
2025-01-16,1,3,16,18.06,80.75,0.0,4.07,24.52,35.28,12.34,27.87
2025-01-17,1,4,17,18.62,79.25,0.0,3.54,24.52,35.28,12.34,27.87
2025-01-18,1,5,18,18.7,78.75,0.0,3.68,24.52,35.28,12.34,27.87
2025-01-19,1,6,19,18.76,80.38,0.0,4.22,24.52,35.28,12.34,27.87
2025-01-20,1,0,20,19.4,81.54,0.0,4.41,24.52,35.28,12.34,27.87
2025-01-21,1,1,21,20.1,82.04,0.0,4.29,24.52,35.28,12.34,27.87
2025-01-22,1,2,22,20.09,81.62,0.0,4.36,24.52,35.28,12.34,27.87
2025-01-23,1,3,23,19.2,83.29,0.0,5.32,24.52,35.28,12.34,27.87
2025-01-24,1,4,24,17.68,82.21,0.0,5.74,24.52,35.28,12.34,27.87
2025-01-25,1,5,25,17.34,81.0,0.0,4.38,24.52,35.28,12.34,27.87
2025-01-26,1,6,26,18.05,79.5,0.0,4.22,24.52,35.28,12.34,27.87
2025-01-27,1,0,27,18.75,79.62,0.0,4.04,24.52,35.28,12.34,27.87
2025-01-28,1,1,28,18.82,83.04,0.4,4.48,24.52,35.28,12.34,27.87
2025-01-29,1,2,29,18.4,85.88,2.6,4.49,24.52,35.28,12.34,27.87
2025-01-30,1,3,30,18.03,82.79,0.1,4.12,24.52,35.28,12.34,27.87
2025-01-31,1,4,31,18.61,85.21,1.0,5.13,24.52,35.28,12.34,27.87
2025-02-01,2,5,32,18.53,84.25,0.1,5.9,24.52,35.28,12.34,27.87
2025-02-02,2,6,33,18.94,80.33,0.0,3.64,24.52,35.28,12.34,27.87
2025-02-03,2,0,34,18.2,85.25,0.4,2.75,24.52,35.28,12.34,27.87
2025-02-04,2,1,35,20.05,76.54,0.0,3.54,24.52,35.28,12.34,27.87
2025-02-05,2,2,36,20.62,77.71,0.1,4.05,24.52,35.28,12.34,27.87
2025-02-06,2,3,37,19.74,84.88,1.1,4.37,24.52,35.28,12.34,27.87
2025-02-07,2,4,38,18.95,80.17,0.0,5.58,24.52,35.28,12.34,27.87
2025-02-08,2,5,39,18.92,79.0,0.0,3.99,24.52,35.28,12.34,27.87
2025-02-09,2,6,40,19.57,76.08,0.0,4.66,24.52,35.28,12.34,27.87
2025-02-10,2,0,41,19.4,77.12,0.0,5.59,24.52,35.28,12.34,27.87
2025-02-11,2,1,42,18.65,82.21,0.6,7.16,24.52,35.28,12.34,27.87
2025-02-12,2,2,43,18.64,81.33,0.1,6.91,24.52,35.28,12.34,27.87
2025-02-13,2,3,44,18.61,80.38,0.3,6.7,24.52,35.28,12.34,27.87
2025-02-14,2,4,45,18.18,79.25,0.0,6.07,24.52,35.28,12.34,27.87
2025-02-15,2,5,46,18.12,79.5,0.1,6.09,24.52,35.28,12.34,27.87
2025-02-16,2,6,47,18.6,74.96,0.0,7.6,24.52,35.28,12.34,27.87
2025-02-17,2,0,48,19.38,71.54,0.0,8.92,24.52,35.28,12.34,27.87
2025-02-18,2,1,49,19.48,73.33,0.0,8.65,24.52,35.28,12.34,27.87
2025-02-19,2,2,50,19.48,77.08,0.1,8.15,24.52,35.28,12.34,27.87
2025-02-20,2,3,51,19.79,74.29,0.0,8.06,24.52,35.28,12.34,27.87
2025-02-21,2,4,52,20.25,75.42,0.3,5.65,24.52,35.28,12.34,27.87
2025-02-22,2,5,53,19.76,79.42,3.3,8.96,24.52,35.28,12.34,27.87
2025-02-23,2,6,54,18.47,86.38,1.9,4.9,24.52,35.28,12.34,27.87
2025-02-24,2,0,55,19.09,82.21,2.8,6.79,24.52,35.28,12.34,27.87
2025-02-25,2,1,56,18.87,80.5,0.3,6.79,24.52,35.28,12.34,27.87
2025-02-26,2,2,57,19.72,78.29,0.0,6.91,24.52,35.28,12.34,27.87
2025-02-27,2,3,58,21.19,72.75,0.0,5.24,24.52,35.28,12.34,27.87
2025-02-28,2,4,59,21.88,73.38,0.0,4.03,24.52,35.28,12.34,27.87
2025-03-01,3,5,60,20.42,82.0,6.9,7.06,24.52,35.28,12.34,27.87
2025-03-02,3,6,61,21.63,76.04,0.0,7.75,24.52,35.28,12.34,27.87
2025-03-03,3,0,62,20.98,79.96,0.0,5.6,24.52,35.28,12.34,27.87
2025-03-04,3,1,63,20.77,77.75,0.2,5.34,24.52,35.28,12.34,27.87
2025-03-05,3,2,64,20.84,71.29,0.0,6.6,24.52,35.28,12.34,27.87
2025-03-06,3,3,65,20.79,72.25,0.0,8.85,24.52,35.28,12.34,27.87
2025-03-07,3,4,66,21.9,65.67,0.0,3.92,24.52,35.28,12.34,27.87
2025-03-08,3,5,67,21.09,69.38,0.0,6.27,24.52,35.28,12.34,27.87
2025-03-09,3,6,68,21.7,70.0,0.0,7.71,24.52,35.28,12.34,27.87
2025-03-10,3,0,69,22.38,70.67,0.0,5.25,24.52,35.28,12.34,27.87
2025-03-11,3,1,70,21.31,75.96,11.4,6.2,24.52,35.28,12.34,27.87
2025-03-12,3,2,71,20.67,81.75,4.8,10.05,24.52,35.28,12.34,27.87
2025-03-13,3,3,72,19.78,85.62,20.8,10.65,24.52,35.28,12.34,27.87
2025-03-14,3,4,73,20.85,83.79,9.2,9.16,24.52,35.28,12.34,27.87
2025-03-15,3,5,74,21.69,85.25,1.5,7.95,24.52,35.28,12.34,27.87
2025-03-16,3,6,75,21.69,86.75,0.3,6.72,24.52,35.28,12.34,27.87
2025-03-17,3,0,76,25.23,63.96,0.0,10.75,24.52,35.28,12.34,27.87
2025-03-18,3,1,77,24.36,50.92,0.0,13.2,24.52,35.28,12.34,27.87
2025-03-19,3,2,78,22.66,68.21,0.0,4.88,24.52,35.28,12.34,27.87
2025-03-20,3,3,79,22.78,73.38,0.0,5.34,24.52,35.28,12.34,27.87
2025-03-21,3,4,80,21.08,83.42,0.5,5.5,24.52,35.28,12.34,27.87
2025-03-22,3,5,81,20.05,90.83,2.8,4.78,24.52,35.28,12.34,27.87
2025-03-23,3,6,82,20.95,83.46,0.1,5.75,24.52,35.28,12.34,27.87
2025-03-24,3,0,83,22.89,74.42,0.0,5.01,24.52,35.28,12.34,27.87
