Date_Str,Month,DayOfWeek,DayOfYear,temp_c,humidity_pct,rain_mm,wind_kmh,Water_pct,Greenery_pct,Empty_Land_pct,Road_and_Infrastructure_pct
2025-01-01,1,2,1,18.5,73.83,0.0,8.22,2.69,44.03,11.99,41.28
2025-01-02,1,3,2,17.57,70.71,0.0,7.43,2.69,44.03,11.99,41.28
2025-01-03,1,4,3,17.88,72.92,0.0,5.61,2.69,44.03,11.99,41.28
2025-01-04,1,5,4,19.36,74.12,0.0,5.1,2.69,44.03,11.99,41.28
2025-01-05,1,6,5,19.3,75.79,0.0,4.07,2.69,44.03,11.99,41.28
2025-01-06,1,0,6,19.78,75.21,0.0,4.5,2.69,44.03,11.99,41.28
2025-01-07,1,1,7,21.48,67.58,0.0,6.75,2.69,44.03,11.99,41.28
2025-01-08,1,2,8,18.95,69.33,0.0,8.35,2.69,44.03,11.99,41.28
2025-01-09,1,3,9,18.03,71.83,0.0,6.88,2.69,44.03,11.99,41.28
2025-01-10,1,4,10,18.59,63.83,0.0,5.24,2.69,44.03,11.99,41.28
2025-01-11,1,5,11,18.99,70.33,0.0,5.56,2.69,44.03,11.99,41.28
2025-01-12,1,6,12,20.23,67.92,0.0,3.6,2.69,44.03,11.99,41.28
2025-01-13,1,0,13,21.53,64.21,0.0,3.11,2.69,44.03,11.99,41.28
2025-01-14,1,1,14,21.42,64.29,0.0,8.1,2.69,44.03,11.99,41.28
2025-01-15,1,2,15,20.31,61.29,0.0,8.58,2.69,44.03,11.99,41.28
2025-01-16,1,3,16,20.35,64.33,0.0,7.1,2.69,44.03,11.99,41.28
2025-01-17,1,4,17,20.78,62.83,0.0,6.28,2.69,44.03,11.99,41.28
2025-01-18,1,5,18,20.9,60.67,0.0,7.19,2.69,44.03,11.99,41.28
2025-01-19,1,6,19,20.53,60.21,0.0,6.91,2.69,44.03,11.99,41.28
2025-01-20,1,0,20,19.97,60.88,0.0,6.12,2.69,44.03,11.99,41.28
2025-01-21,1,1,21,21.42,64.5,0.0,5.77,2.69,44.03,11.99,41.28
2025-01-22,1,2,22,21.65,64.88,0.0,4.14,2.69,44.03,11.99,41.28
2025-01-23,1,3,23,21.41,76.75,0.0,4.15,2.69,44.03,11.99,41.28
2025-01-24,1,4,24,22.22,78.71,0.0,3.79,2.69,44.03,11.99,41.28
2025-01-25,1,5,25,21.4,77.92,0.5,4.75,2.69,44.03,11.99,41.28
2025-01-26,1,6,26,20.22,57.96,0.0,5.59,2.69,44.03,11.99,41.28
2025-01-27,1,0,27,20.22,56.17,0.0,6.79,2.69,44.03,11.99,41.28
2025-01-28,1,1,28,21.07,68.29,0.0,4.44,2.69,44.03,11.99,41.28
2025-01-29,1,2,29,22.1,78.58,0.2,7.67,2.69,44.03,11.99,41.28
2025-01-30,1,3,30,23.79,78.25,0.4,14.14,2.69,44.03,11.99,41.28
2025-01-31,1,4,31,24.32,82.0,1.5,8.4,2.69,44.03,11.99,41.28
2025-02-01,2,5,32,24.65,84.04,1.2,5.11,2.69,44.03,11.99,41.28
2025-02-02,2,6,33,24.69,81.88,0.2,3.82,2.69,44.03,11.99,41.28
2025-02-03,2,0,34,24.15,68.5,0.0,5.51,2.69,44.03,11.99,41.28
2025-02-04,2,1,35,23.38,58.38,0.0,4.82,2.69,44.03,11.99,41.28
2025-02-05,2,2,36,25.07,66.79,0.0,5.95,2.69,44.03,11.99,41.28
2025-02-06,2,3,37,25.21,58.96,0.0,6.05,2.69,44.03,11.99,41.28
2025-02-07,2,4,38,21.99,44.38,0.0,5.84,2.69,44.03,11.99,41.28
2025-02-08,2,5,39,21.37,49.62,0.0,5.86,2.69,44.03,11.99,41.28
2025-02-09,2,6,40,21.91,54.71,0.0,5.39,2.69,44.03,11.99,41.28
2025-02-10,2,0,41,23.62,74.67,0.0,7.78,2.69,44.03,11.99,41.28
2025-02-11,2,1,42,25.24,73.92,0.0,8.67,2.69,44.03,11.99,41.28
2025-02-12,2,2,43,25.46,77.0,0.0,4.92,2.69,44.03,11.99,41.28
2025-02-13,2,3,44,25.98,61.04,0.2,5.81,2.69,44.03,11.99,41.28
2025-02-14,2,4,45,23.52,39.0,0.0,7.15,2.69,44.03,11.99,41.28
2025-02-15,2,5,46,24.08,51.54,0.0,5.1,2.69,44.03,11.99,41.28
2025-02-16,2,6,47,24.77,70.62,0.0,8.48,2.69,44.03,11.99,41.28
2025-02-17,2,0,48,25.8,73.58,0.0,8.46,2.69,44.03,11.99,41.28
2025-02-18,2,1,49,24.9,74.54,11.5,4.1,2.69,44.03,11.99,41.28
2025-02-19,2,2,50,22.95,81.88,21.5,4.68,2.69,44.03,11.99,41.28
2025-02-20,2,3,51,22.32,88.25,7.3,5.58,2.69,44.03,11.99,41.28
2025-02-21,2,4,52,24.0,79.83,0.0,5.35,2.69,44.03,11.99,41.28
2025-02-22,2,5,53,22.78,85.21,3.6,5.81,2.69,44.03,11.99,41.28
2025-02-23,2,6,54,22.67,82.25,9.5,4.73,2.69,44.03,11.99,41.28
2025-02-24,2,0,55,23.95,71.54,0.0,4.92,2.69,44.03,11.99,41.28
2025-02-25,2,1,56,24.13,71.58,0.0,5.35,2.69,44.03,11.99,41.28
2025-02-26,2,2,57,23.95,71.25,0.0,4.16,2.69,44.03,11.99,41.28
2025-02-27,2,3,58,24.77,71.42,0.0,5.97,2.69,44.03,11.99,41.28
2025-02-28,2,4,59,25.94,74.12,0.0,5.88,2.69,44.03,11.99,41.28
2025-03-01,3,5,60,27.28,67.58,0.0,11.89,2.69,44.03,11.99,41.28
2025-03-02,3,6,61,27.82,66.0,0.0,7.35,2.69,44.03,11.99,41.28
2025-03-03,3,0,62,28.02,63.46,0.0,7.65,2.69,44.03,11.99,41.28
2025-03-04,3,1,63,27.47,43.71,0.0,7.94,2.69,44.03,11.99,41.28
2025-03-05,3,2,64,27.11,53.88,0.0,7.71,2.69,44.03,11.99,41.28
2025-03-06,3,3,65,24.35,38.04,0.0,6.63,2.69,44.03,11.99,41.28
2025-03-07,3,4,66,25.07,47.96,0.0,7.61,2.69,44.03,11.99,41.28
2025-03-08,3,5,67,26.29,66.08,0.0,8.98,2.69,44.03,11.99,41.28
2025-03-09,3,6,68,26.83,66.62,0.0,6.0,2.69,44.03,11.99,41.28
2025-03-10,3,0,69,27.49,58.58,0.0,6.71,2.69,44.03,11.99,41.28
2025-03-11,3,1,70,27.94,51.42,0.0,11.13,2.69,44.03,11.99,41.28
2025-03-12,3,2,71,28.76,57.29,0.0,10.44,2.69,44.03,11.99,41.28
2025-03-13,3,3,72,29.59,65.71,0.0,11.6,2.69,44.03,11.99,41.28
2025-03-14,3,4,73,30.02,70.58,0.0,10.87,2.69,44.03,11.99,41.28
2025-03-15,3,5,74,30.65,70.5,0.0,7.78,2.69,44.03,11.99,41.28
2025-03-16,3,6,75,30.1,69.29,5.8,8.9,2.69,44.03,11.99,41.28
2025-03-17,3,0,76,28.15,74.79,2.2,6.83,2.69,44.03,11.99,41.28
2025-03-18,3,1,77,29.76,53.71,0.0,6.99,2.69,44.03,11.99,41.28
2025-03-19,3,2,78,29.26,70.71,0.0,8.53,2.69,44.03,11.99,41.28
2025-03-20,3,3,79,28.7,69.92,0.6,7.51,2.69,44.03,11.99,41.28
2025-03-21,3,4,80,26.57,66.08,3.7,5.64,2.69,44.03,11.99,41.28
2025-03-22,3,5,81,22.87,81.08,2.4,7.74,2.69,44.03,11.99,41.28
2025-03-23,3,6,82,24.33,76.46,0.8,4.08,2.69,44.03,11.99,41.28
2025-03-24,3,0,83,26.28,60.88,0.0,5.58,2.69,44.03,11.99,41.28
2025-03-25,3,1,84,27.99,57.29,0.0,7.7,2.69,44.03,11.99,41.28
2025-03-26,3,2,85,29.3,63.46,0.0,11.29,2.69,44.03,11.99,41.28
2025-03-27,3,3,86,30.58,52.58,0.0,9.97,2.69,44.03,11.99,41.28
2025-03-28,3,4,87,31.17,56.58,0.0,10.56,2.69,44.03,11.99,41.28
2025-03-29,3,5,88,31.66,57.92,0.0,7.32,2.69,44.03,11.99,41.28
2025-03-30,3,6,89,30.3,70.96,0.3,9.27,2.69,44.03,11.99,41.28
2025-03-31,3,0,90,30.01,70.12,0.0,11.56,2.69,44.03,11.99,41.28
2025-04-01,4,1,91,29.86,69.12,0.2,12.37,2.69,44.03,11.99,41.28
2025-04-02,4,2,92,30.1,67.88,0.0,10.0,2.69,44.03,11.99,41.28
2025-04-03,4,3,93,30.45,66.25,0.0,8.05,2.69,44.03,11.99,41.28
